ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,Age,AgeCategory,PrimaryOrMetastasis,SampleCollectionSite,ModelType,GrowthPattern,TissueOrigin
ACH-002693,S462,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Female,,Unknown,Unknown,Unknown,Cell Line,Adherent,
ACH-002695,STS26T,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Female,51.0,Adult,Unknown,Unknown,Cell Line,Adherent,
ACH-002703,OANC1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESCA,Male,44.0,Adult,Primary,oesophagus,Cell Line,Adherent,
ACH-002705,IS076P,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESCA,Male,83.0,Adult,Primary,oesophagus,Cell Line,Adherent,
ACH-002706,IS076A,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESCA,Male,83.0,Adult,Primary,oesophagus,Cell Line,Mixed,
ACH-002708,DL-221,Soft Tissue,Liposarcoma,Myxoid/Round-Cell Liposarcoma,MRLS,Male,42.0,Adult,Metastatic,pleura,Cell Line,Adherent,
ACH-002709,CMS,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Female,2.0,Pediatric,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002710,MPNST-724,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Unknown,,Unknown,Primary,soft_tissue,Cell Line,Adherent,
ACH-002711,UM-HACC-2A,Head and Neck,Salivary Carcinoma,Adenoid Cystic Carcinoma,ACYC,Female,53.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-002716,MO-91,Myeloid,Acute Myeloid Leukemia,AML with Minimal Differentiation,AMLMD,Unknown,,Unknown,,Unknown,Cell Line,Suspension,
ACH-002722,OSU-Des23,Soft Tissue,Desmoid/Aggressive Fibromatosis,Desmoid/Aggressive Fibromatosis,DES,Female,26.0,Adult,Primary,pelvis,Cell Line,Adherent,
ACH-002778,NCC-OS1-X2-C1,Bone,Osteosarcoma,Osteosarcoma,OS,Male,11.0,Pediatric,Unknown,Unknown,Cell Line,Adherent,
ACH-002779,NCC-ESOS1-C1,Bone,Osteosarcoma,Osteosarcoma,OS,Unknown,,Pediatric,,Unknown,Cell Line,Adherent,
ACH-002780,NCC-ES1-C1,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Male,31.0,Adult,Primary,Unknown,Cell Line,Suspension,
ACH-002781,NCC-dCS1-C1,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,DDCHS,Female,65.0,Adult,Primary,Unknown,Cell Line,Adherent,
ACH-002782,NCC-UPS1-C1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Male,83.0,Adult,Primary,soft_tissue,Cell Line,Adherent,
ACH-002784,NCC-UPS2-C1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Female,84.0,Adult,Primary,soft_tissue,Cell Line,Adherent,
ACH-002785,NCC-LMS1-C1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS,Female,42.0,Adult,Metastatic,bone,Cell Line,Adherent,
ACH-002787,NCC-pRMS1-C1,Soft Tissue,Rhabdomyosarcoma,Pleomorphic Rhabdomyosarcoma,PLRMS,Male,73.0,Adult,Primary,soft_tissue,Cell Line,Adherent,
ACH-002789,NCC-SS1-C1,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS,Female,72.0,Adult,Primary,Unknown,Cell Line,Adherent,
ACH-002790,NCC-SS2-C1,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS,Female,43.0,Adult,Primary,Unknown,Cell Line,Adherent,
ACH-002792,NCC-CCS1B-C1,Soft Tissue,Clear Cell Sarcoma,Clear Cell Sarcoma,CCS,Female,43.0,Adult,Unknown,Unknown,Cell Line,Adherent,
ACH-002794,NCC-MFS1-C1,Soft Tissue,Myxofibrosarcoma,Myxofibrosarcoma,MFS,Male,82.0,Adult,Primary,Unknown,Cell Line,Adherent,
ACH-002795,NCC-CDS1-X1-C1,Soft Tissue,CIC-DUX4 Sarcoma,CIC-DUX4 Sarcoma,,Female,29.0,Adult,Primary,soft_tissue,Cell Line,Adherent,
ACH-002796,NCC-CDS1-X3-C1,Soft Tissue,CIC-DUX4 Sarcoma,CIC-DUX4 Sarcoma,,Female,29.0,Adult,Primary,soft_tissue,Cell Line,Adherent,
ACH-002798,NCC-DFSP2-C1,Skin,Dermatofibrosarcoma Protuberans,Dermatofibrosarcoma Protuberans,DFSP,Female,18.0,Adult,,Unknown,Cell Line,Adherent,
ACH-002799,NCC-MPNST1-C1,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Female,37.0,Adult,Unknown,Unknown,Cell Line,Adherent,
ACH-002800,NCC-MPNST2-C1,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Male,54.0,Adult,Unknown,Unknown,Cell Line,Adherent,
ACH-002801,NCC-MPNST3-C1,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Male,72.0,Adult,Unknown,Unknown,Cell Line,Adherent,
ACH-002802,NCC-MPNST3-X2-C1,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Male,72.0,Adult,,Unknown,Cell Line,Adherent,
ACH-002806,TB096,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",ASTR,Male,25.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-002834,OS384,Bone,Osteosarcoma,Osteosarcoma,OS,Female,13.0,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-002843,CCLF_RARE_0020_T,Soft Tissue,Desmoid/Aggressive Fibromatosis,Desmoid/Aggressive Fibromatosis,DES,Female,15.0,Pediatric,Metastatic,abdomen,Cell Line,Adherent,
ACH-002846,YUSEEP-M 16-3517,Skin,Melanoma,Acral Melanoma,ACRM,Male,76.0,Adult,Metastatic,left heel,Cell Line,Suspension,
ACH-002847,YUHOIN,Skin,Melanoma,Melanoma,MEL,Female,59.0,Adult,Metastatic,sinonasal,Cell Line,Adherent,
ACH-002886,VACO 432,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,72.0,Adult,,Unknown,Cell Line,Adherent,
ACH-002921,BCK4,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC,Female,65.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-002922,SK-N-MM,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Female,8.0,Pediatric,Metastatic,bone_marrow,Cell Line,Adherent,
ACH-002923,LAI-5S,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Male,2.0,Pediatric,Metastatic,bone_marrow,Cell Line,Adherent,
ACH-002924,UPMM2,Eye,Ocular Melanoma,Uveal Melanoma,UM,Female,,Unknown,Primary,cilio-choroidal,Cell Line,Adherent,
ACH-002925,UPMM3,Eye,Ocular Melanoma,Uveal Melanoma,UM,Male,,Unknown,Primary,eye,Cell Line,Adherent,
ACH-002926,UPMD1,Eye,Ocular Melanoma,Uveal Melanoma,UM,Female,,Unknown,Primary,eye,Cell Line,Unknown,
ACH-002927,UPMD2,Eye,Ocular Melanoma,Uveal Melanoma,UM,Female,,Unknown,Primary,eye,Cell Line,Adherent,
ACH-002928,MM100511,Skin,Melanoma,Acral Melanoma,ACRM,Female,57.0,Adult,Metastatic,skin,Cell Line,Unknown,
ACH-002936,CCLF_PEDS_0043_T,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS,Male,13.0,Pediatric,Metastatic,pleural_cavity,Cell Line,Mixed,
ACH-002946,UKE-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Female,59.0,Adult,,haematopoietic_and_lymphoid_tissue,Cell Line,Unknown,
ACH-002994,WSU-AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Unknown,,Unknown,,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-003012,A549_CRAF_KD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,58.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-003061,NCI-H774,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,43.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-003064,TE 130.T,Bone,Other,Sacrococcygeal teratoma,,Male,0.0,Pediatric,,bone,Cell Line,Adherent,
ACH-003065,CHLA-02-ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT,Male,1.0,Pediatric,,brain,Cell Line,Adherent,
ACH-003067,CHLA-01R-MED,CNS/Brain,Embryonal Tumor,"Medulloblastoma, NOS",MBLNOS,Male,8.0,Pediatric,Metastatic,brain,Cell Line,Suspension,
ACH-003071,NCI-H748,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,62.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-003099,UCSF-OT-1109,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Female,44.0,Adult,,tongue,Cell Line,Adherent,
ACH-003100,EJ-1,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS,Female,82.0,Adult,Primary,urinary_tract,Cell Line,Suspension,
ACH-003101,Z-119,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Female,25.0,Adult,,bone_marrow,Cell Line,Suspension,
ACH-003103,Z-181,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Male,32.0,Adult,,bone_marrow,Cell Line,Suspension,
ACH-003105,VMM917,Skin,Melanoma,Melanoma,MEL,Male,57.0,Adult,,skin,Cell Line,Adherent,
ACH-003106,RC,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,GCB,Female,71.0,Adult,,pleural_effusion,Cell Line,Suspension,
ACH-003107,JMP-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL,Unknown,,Unknown,,pleural_effusion,Cell Line,Suspension,
ACH-003108,HF,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,GCB,Male,77.0,Adult,,pleural_effusion,Cell Line,Suspension,
ACH-003111,Hs 856.T,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Female,16.0,Pediatric,,soft_tissue,Cell Line,Adherent,
ACH-003119,NCI-H1450,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,64.0,Adult,Metastatic,bone_marrow,Cell Line,Adherent,
ACH-003120,NCI-H1607,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,54.0,Adult,Metastatic,Unknown,Cell Line,Adherent,
ACH-003121,NCI-H2679,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Female,,Unknown,Metastatic,Unknown,Cell Line,Adherent,
ACH-003125,ASPS-KY,Soft Tissue,Alveolar Soft Part Sarcoma,Alveolar Soft Part Sarcoma,ASPS,Female,27.0,Adult,Metastatic,Unknown,Cell Line,Adherent,
ACH-003171,NRH-OS1,Bone,Osteosarcoma,Osteoblastic Osteosarcoma,OSOS,Male,24.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003176,NRH-GCT1,Bone,Osteosarcoma,Osteosarcoma,OS,Male,31.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003177,NRH-UPS1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Male,38.0,Adult,Metastatic,soft_tissue,Cell Line,Mixed,
ACH-003178,NRH-OS2,Bone,Osteosarcoma,Osteosarcoma,OS,Male,10.0,Pediatric,Primary,soft_tissue,Cell Line,Mixed,
ACH-003180,NRH-UPS2,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Female,56.0,Adult,Primary,abdomen,Cell Line,Mixed,
ACH-003181,NRH-LMS1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS,Female,81.0,Adult,Metastatic,soft_tissue,Cell Line,Mixed,
ACH-003183,NRH-MFS3,Soft Tissue,Myxofibrosarcoma,Myxofibrosarcoma,MFS,Male,74.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003184,NRH-LMS2,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS,Female,71.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003185,NRH-OS4,Bone,Osteosarcoma,Osteosarcoma,OS,Male,38.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003186,NRH-UPS3,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Female,46.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003187,NRH-UPS4,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Male,69.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003189,NRH-LS3,Soft Tissue,Liposarcoma,Dedifferentiated Liposarcoma,DDLS,Female,56.0,Adult,Primary,abdomen,Cell Line,Mixed,
ACH-003190,NRH-UPS7,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH,Female,67.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003191,NRH-GCT2,Bone,Giant Cell Tumor of Bone,Giant Cell Tumor of Bone,GCTB,Male,70.0,Adult,Primary,soft_tissue,Cell Line,Mixed,
ACH-003221,Hs 38.T,Fibroblast,Non-Cancerous,Fibroblast,,Female,,Unknown,Unknown,,Cell Line,Adherent,
ACH-003226,U-CH11-R,Bone,Chordoma,Chordoma,CHDM,Male,75.0,Adult,Recurrent,sacral,Cell Line,Adherent,
ACH-003227,U-CH17M,Bone,Chordoma,Chordoma,CHDM,Male,38.0,Adult,Metastatic,soft_tissue,Cell Line,Adherent,
ACH-003273,CHRF-288-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,1.0,Pediatric,Primary,,Cell Line,Suspension,
ACH-003283,BJ,Fibroblast,Non-Cancerous,Fibroblast,,Male,,Fetus,Primary,skin,Cell Line,Adherent,
ACH-003284,WI-38,Fibroblast,Non-Cancerous,Fibroblast,,Female,,Fetus,Primary,lung,Cell Line,Adherent,
ACH-003295,C-20/A4,,Non-Cancerous,Transformed cell line,,Male,5.0,Pediatric,Primary,cartilage,Cell Line,Adherent,
ACH-003296,T/C28a2,,Non-Cancerous,Transformed cell line,,Female,15.0,Pediatric,Primary,cartilage,Cell Line,Adherent,
ACH-003297,C28/I2,,Non-Cancerous,Transformed cell line,,Female,15.0,Pediatric,Primary,cartilage,Cell Line,Adherent,
ACH-003305,HBEC3-KT,,Non-Cancerous,Transformed cell line,,Female,65.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-003307,Het-1A,,Non-Cancerous,Transformed cell line,,Male,74.0,Adult,Primary,esophagus,Cell Line,Adherent,
ACH-003308,THLE-3,,Non-Cancerous,Transformed cell line,,Unknown,,Adult,Primary,liver,Cell Line,Adherent,
ACH-003313,HuLa-PC,,Non-Cancerous,Transformed cell line,,Male,,Fetus,Primary,oral,Cell Line,Adherent,
ACH-003410,U-CHCF365,Bone,Chordoma,Dedifferentiated Chordoma,DDCHDM,Male,11.0,Pediatric,Metastatic,clivus,Cell Line,Adherent,
ACH-003573,C337,Bone,Osteosarcoma,Osteosarcoma,OS,Unknown,,Unknown,,,Cell Line,Adherent,
ACH-003587,531MII,Bone,Osteosarcoma,Osteosarcoma,OS,Female,22.0,Adult,Metastatic,rib,Cell Line,Adherent,
ACH-003590,YCUB-2,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Male,4.0,Pediatric,Recurrent,B lymphoblastoid cells,Cell Line,Suspension,
