ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,Age,AgeCategory,PrimaryOrMetastasis,SampleCollectionSite,ModelType,GrowthPattern,TissueOrigin
ACH-002018,Omm2.5,Eye,Ocular Melanoma,Uveal Melanoma,UM,Male,62.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-002019,HOKUG,Cervix,Glassy Cell Carcinoma of the Cervix,Glassy Cell Carcinoma of the Cervix,CEGCC,Female,53.0,Adult,Primary,cervix,Cell Line,Adherent,
ACH-002020,SKG-IIIa,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC,Female,38.0,Adult,Primary,cervix,Cell Line,Adherent,
ACH-002021,T3M-3,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,UCCA,Female,,Unknown,Primary,Placenta,Cell Line,Adherent,
ACH-002023,TGBC18TKB,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,AMPCA,Female,79.0,Adult,Primary,large_intestine,Cell Line,Adherent,
ACH-002024,ECC4,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ,Male,45.0,Adult,Primary,large_intestine,Cell Line,Adherent,
ACH-002025,TT1TKB,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ,Male,,Unknown,Primary,large_intestine,Cell Line,Adherent,
ACH-002026,HHUA,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC,Female,54.0,Adult,Primary,endometrium,Cell Line,Adherent,
ACH-002027,HOUA-I,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC,Female,55.0,Adult,Primary,endometrium,Cell Line,Adherent,
ACH-002029,SAS,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Female,69.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-002030,Sa3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Male,63.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-002033,HMMME,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO,Male,72.0,Adult,Primary,pleural_effusion,Cell Line,Adherent,
ACH-002034,T3M-11,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,Male,,Unknown,Primary,lung,Cell Line,Adherent,
ACH-002035,LCAM1,Lung,Non-Small Cell Lung Cancer,Poorly Differentiated Non-Small Cell Lung Cancer,NSCLCPD,Male,53.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-002038,HSKTC,Ovary/Fallopian Tube,"Ovarian Cancer, Other","Ovarian Cancer, Other",OOVC,Female,46.0,Adult,Primary,ovary,Cell Line,Adherent,
ACH-002039,PK-8,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Unknown,,Unknown,Metastatic,liver,Cell Line,Adherent,
ACH-002040,HMV-II,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,VMM,Female,65.0,Adult,Primary,skin,Cell Line,Adherent,
ACH-002041,HOTHC,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP,Female,80.0,Adult,Primary,thyroid,Cell Line,Adherent,
ACH-002042,T3M-5,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,HNSC,Female,71.0,Adult,Primary,thyroid,Cell Line,Adherent,
ACH-002043,Ca9-22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Male,43.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-002044,HSQ-89,Head and Neck,Head and Neck Squamous Cell Carcinoma,Sinonasal Squamous Cell Carcinoma,SNSC,Male,74.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-002045,HO-1-u-1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC,Male,72.0,Adult,Primary,upper_aerodigestive_tract,Cell Line,Adherent,
ACH-002046,HTMMT,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS,Female,66.0,Adult,Primary,endometrium,Cell Line,Adherent,
ACH-002047,HIRS-BM,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS,Female,16.0,Pediatric,Metastatic,haematopoietic_and_lymphoid_tissue,Cell Line,Adherent,
ACH-002048,RMS-YM,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS,Male,2.0,Pediatric,Primary,Uachus,Cell Line,Adherent,
ACH-002050,HTST,Other,Extra Gonadal Germ Cell Tumor,Extra Gonadal Germ Cell Tumor,EGCT,Female,0.0,Pediatric,Primary,Embryonal,Cell Line,Adherent,
ACH-002051,Lu-134-A,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,80.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-002052,Lu-139,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,63.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-002055,TL-1,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL,Male,10.0,Pediatric,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002059,P30/OHK,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,Female,11.0,Pediatric,Primary,bone_marrow,Cell Line,Suspension,
ACH-002060,MY,Myeloid,Acute Leukemias of Ambiguous Lineage,Acute Leukemias of Ambiguous Lineage,ALAL,Female,52.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002061,P2UR/K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1,Female,53.0,Adult,Primary,pleural_effusion,Cell Line,Suspension,
ACH-002062,SLVL,Lymphoid,Mature B-Cell Neoplasms,Splenic Marginal Zone Lymphoma,SMZL,Female,70.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-002065,HS-PSS,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Male,,Unknown,Metastatic,prostate,Cell Line,Adherent,
ACH-002066,HS-Sch-2,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,MPNST,Female,54.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-002067,NOS-1,Bone,Osteosarcoma,Osteosarcoma,OS,Male,16.0,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-002069,HS-Os-1,Bone,Osteosarcoma,Osteosarcoma,OS,Female,11.0,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-002070,HKBMM,CNS/Brain,Meningothelial Tumor,Meningioma,MNG,Female,52.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-002074,Lu-143,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,60.0,Adult,Primary,lung,Cell Line,Suspension,
ACH-002075,Lu-138,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,78.0,Adult,Primary,lung,Cell Line,Mixed,
ACH-002077,Lu-165,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,50.0,Adult,Metastatic,lymph_node,Cell Line,Suspension,
ACH-002080,TN-2,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL,Male,,Unknown,Primary,autonomic_ganglia,Cell Line,Adherent,
ACH-002084,MMAc,Skin,Melanoma,Melanoma,MEL,Female,39.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-002142,HuO-3N1,Bone,Osteosarcoma,Osteosarcoma,OS,Female,15.0,Pediatric,Primary,bone,Cell Line,Adherent,
ACH-002170,NCI-H1688,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,50.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-002178,NY,Bone,Osteosarcoma,Osteosarcoma,OS,Male,15.0,Pediatric,Primary,bone,Cell Line,Adherent,
